countriesAndTerritories,Total_Cases,Population_2020,Infection_Rate_Pct
Austria,5402162.0,8901064,60.69119377189064
France,36612627.0,67320216,54.38578361067648
Portugal,5514482.0,10295909,53.55993336770945
Netherlands,8494705.0,17407585,48.79887129662156
Greece,5135200.0,10718565,47.90939831964447
Germany,35287690.0,83166711,42.430065558321765
Belgium,4607296.0,11522440,39.98541975484359
Italy,23359680.0,59641488,39.16682964046772
Spain,13564823.0,47332614,28.65851228922197
Poland,6189562.0,37958138,16.306284570649908
