ReportingCountry,AZ,BECNBG,BHACOV,COM,COMBA.1,COMBA.4-5,COMBIV,JANSS,MOD,MODBA.1,MODBA.4-5,MODBIV,NVXD,SGSK,SIN,SPU,UNK,VLA
AT,11329242.0,0.0,0.0,39110463.0,1584936.0,8453864.0,0.0,4612123.0,7605737.0,2491540.0,0.0,0.0,3186736.0,2243562.0,0.0,0.0,0.0,153374.0
BE,7712022.0,0.0,0.0,33985958.0,3043560.0,510266.0,0.0,1057148.0,10136011.0,67396.0,0.0,0.0,423388.0,0.0,0.0,0.0,0.0,0.0
BG,4996924.0,0.0,0.0,10220630.0,0.0,0.0,0.0,2308346.0,1479316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,726831.0,0.0,0.0,3355529.0,869.0,85952.0,0.0,228952.0,356589.0,24937.0,11028.0,0.0,90901.0,0.0,0.0,0.0,0.0,0.0
CZ,3239317.0,0.0,0.0,37319335.0,1438709.0,5559191.0,0.0,2658905.0,5500480.0,207932.0,46770.0,0.0,588998.0,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441559555.0,0.0
DK,358781.0,0.0,0.0,17974115.0,627673.0,1186754.0,0.0,88164.0,3127944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,1056409.0,0.0,0.0,3811264.0,288059.0,381737.0,0.0,199820.0,627254.0,195531.0,99370.0,0.0,62958.0,0.0,0.0,0.0,0.0,0.0
EL,5593299.0,0.0,0.0,41917928.0,860172.0,2084260.0,0.0,3187889.0,3385654.0,0.0,0.0,0.0,405147.0,0.0,0.0,0.0,0.0,0.0
ES,56993143.0,0.0,0.0,161259344.0,0.0,0.0,30303125.0,30353640.0,63107861.0,0.0,0.0,9912133.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,1201831.0,0.0,0.0,22250843.0,1203840.0,2704320.0,0.0,68400.0,4094096.0,0.0,0.0,0.0,417000.0,0.0,0.0,0.0,882517.0,0.0
FR,18819951.0,0.0,0.0,248259523.0,0.0,29196738.0,0.0,4823108.0,79751485.0,8551885.0,3331280.0,0.0,2995937.0,11398756.0,0.0,0.0,11.0,0.0
HR,2734214.0,0.0,0.0,10748941.0,0.0,0.0,0.0,513476.0,1983849.0,0.0,0.0,0.0,166371.0,0.0,0.0,0.0,17747.0,0.0
HU,7766778.0,7502567.0,0.0,21948049.0,305412.0,0.0,0.0,4654981.0,2813661.0,0.0,0.0,0.0,0.0,0.0,0.0,3807392.0,0.0,0.0
IE,2996424.0,0.0,0.0,18879837.0,540827.0,361063.0,0.0,1023154.0,4867528.0,89326.0,2640.0,0.0,198897.0,0.0,0.0,0.0,0.0,0.0
IS,216355.0,0.0,0.0,1375750.0,159380.0,124317.0,0.0,111800.0,359093.0,65350.0,98350.0,0.0,42011.0,0.0,0.0,0.0,0.0,0.0
IT,29564313.0,0.0,0.0,196392704.0,1130616.0,2890152.0,0.0,3751480.0,62322347.0,56066.0,83456.0,0.0,1136089.0,10935.0,0.0,0.0,0.0,0.0
LI,0.0,0.0,0.0,44382.0,765.0,0.0,0.0,914.0,91092.0,2006.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LT,1097044.0,0.0,0.0,6587894.0,0.0,0.0,0.0,621908.0,688002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10158.0,0.0
LU,291652.0,0.0,0.0,2067123.0,90253.0,189569.0,0.0,121755.0,644849.0,303240.0,243300.0,0.0,71498.0,0.0,0.0,0.0,0.0,0.0
LV,1937939.0,0.0,0.0,5483848.0,489699.0,1590952.0,0.0,1553931.0,1884321.0,577853.0,123600.0,0.0,195292.0,62400.0,0.0,0.0,5017.0,0.0
MT,498943.0,0.0,0.0,741271.0,0.0,0.0,0.0,32300.0,278505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,8773942.0,0.0,0.0,56681746.0,0.0,0.0,0.0,4044096.0,23066984.0,0.0,0.0,0.0,704207.0,0.0,0.0,0.0,16641.0,0.0
NO,726427.0,0.0,0.0,20290073.0,1047915.0,2672336.0,0.0,411284.0,6325299.0,1463716.0,2286927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,25926037.0,0.0,0.0,101930831.0,0.0,0.0,0.0,18254657.0,13195020.0,0.0,0.0,0.0,15813.0,0.0,0.0,0.0,0.0,0.0
PT,7364227.0,4729.0,138.0,38076225.0,1150095.0,1779917.0,0.0,2760205.0,10025277.0,233981.0,38.0,0.0,478216.0,71.0,8897.0,0.0,0.0,0.0
RO,3851895.0,0.0,0.0,29948922.0,0.0,0.0,0.0,5141578.0,3776860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,3021656.0,0.0,0.0,45982907.0,0.0,0.0,0.0,0.0,19445345.0,0.0,0.0,0.0,1777064.0,0.0,0.0,0.0,0.0,0.0
SI,2193956.0,0.0,0.0,6149031.0,0.0,0.0,871114.0,365898.0,949429.0,0.0,0.0,536851.0,89221.0,0.0,0.0,0.0,0.0,0.0
SK,3226978.0,0.0,0.0,12917886.0,0.0,0.0,0.0,661674.0,1623351.0,0.0,0.0,0.0,96742.0,0.0,0.0,397984.0,4659.0,0.0
