Vaccine,Age0_4,Age10_14,Age15_17,Age18_24,Age25_49,Age50_59,Age5_9,Age60_69,Age70_79,Age80+,Age<18,HCW,LTCF
AZ,97852.0,98116.0,99680.0,1180130.0,10841124.0,6591451.0,97849.0,20551419.0,8302848.0,1263713.0,2131.0,1687795.0,212536.0
BECNBG,40.0,147.0,82.0,161998.0,748310.0,227409.0,99.0,538047.0,518061.0,126416.0,0.0,22629.0,5255.0
BHACOV,0.0,8.0,23.0,25.0,96.0,0.0,2.0,1.0,12.0,4.0,0.0,0.0,0.0
COM,797893.0,10464140.0,8999936.0,31270818.0,139528962.0,68295161.0,4939293.0,56262894.0,54773561.0,41078638.0,27049621.0,11804139.0,3291650.0
COMBA.1,217.0,3884.0,4102.0,136888.0,1014505.0,1063805.0,460.0,1594219.0,1984791.0,1271994.0,25756.0,212022.0,42022.0
COMBA.4-5,812.0,16032.0,14857.0,174695.0,1354734.0,1795137.0,3131.0,2461954.0,2038498.0,1202282.0,63397.0,217278.0,34550.0
COMBIV,0.0,8850.0,18907.0,95013.0,847282.0,952598.0,0.0,2677481.0,2725146.0,2126959.0,27991.0,526255.0,269604.0
JANSS,55109.0,55581.0,58754.0,1916723.0,7396817.0,3035182.0,55125.0,1668763.0,718408.0,275004.0,3548.0,172127.0,105122.0
MOD,128372.0,670856.0,672810.0,7764156.0,39222736.0,20813012.0,128566.0,16521662.0,11857537.0,6391839.0,1894393.0,2176236.0,342649.0
MODBA.1,1.0,58.0,104.0,8308.0,65140.0,140055.0,0.0,165222.0,108115.0,47503.0,255.0,35273.0,10658.0
MODBA.4-5,0.0,1.0,1.0,1558.0,16836.0,14509.0,0.0,23002.0,21171.0,17254.0,666.0,355.0,53.0
MODBIV,0.0,239.0,514.0,2486.0,25826.0,21194.0,0.0,37192.0,41289.0,101665.0,753.0,20759.0,85391.0
NVXD,1.0,100.0,313.0,13091.0,72017.0,42749.0,26.0,30971.0,15484.0,4838.0,426.0,2990.0,89.0
SGSK,0.0,0.0,2.0,13.0,161.0,79.0,0.0,109.0,69.0,34.0,2.0,0.0,0.0
SIN,110.0,499.0,73.0,1261.0,4689.0,618.0,899.0,1130.0,980.0,219.0,0.0,0.0,0.0
SPU,0.0,0.0,2.0,112622.0,832178.0,385913.0,0.0,371895.0,126528.0,16240.0,0.0,6853.0,381.0
UNK,1.0,2875.0,1408.0,14175560.0,52640279.0,24956459.0,2092.0,25504258.0,20808577.0,13415981.0,19977278.0,180549.0,138149.0
VLA,0.0,17.0,30.0,225.0,1011.0,451.0,2.0,282.0,125.0,80.0,49.0,0.0,0.0
