geoId,Population,FirstDose_Rate,Skepticism_Rate,Peak_Weekly_Hosp_per_100k_2021
BE,11617623,0.7965700040361097,0.20342999596389033,18.910925238321127
CY,904705,0.7395880425110948,0.2604119574889052,27.3017171343145
CZ,10701777,0.6514693774688073,0.3485306225311927,63.413385958171126
DE,83237124,0.7793022017435394,0.22069779825646063,20.86568968913438
EE,1331796,0.6318317520100676,0.3681682479899324,42.79934764783796
EL,10718565,0.7385267524150854,0.26147324758491464,35.851607614766735
ES,47432893,0.8712279894038932,0.12877201059610677,37.094511608220905
FR,67871925,0.8054820899805037,0.19451791001949625,19.396827185909345
IE,5060004,0.8119090419691368,0.18809095803086318,26.02764740897438
IS,376248,0.8166608194595054,0.18333918054049458,7.441900023388829
IT,59641488,0.8480506891444426,0.1519493108555574,22.35976666357841
LU,645397,0.7270842597656946,0.2729157402343054,16.8888296660815
LV,1907675,0.7046598608253503,0.29534013917464974,64.3473541615465
MT,520971,0.8647563875916318,0.13524361240836824,13.052549949997216
NL,17590672,0.7262688429413043,0.27373115705869566,12.38156222798083
PT,10352042,0.9451563276114993,0.05484367238850074,44.89935415640701
SI,2108977,0.580654981064279,0.41934501893572096,35.64004973471654
SK,5459781,0.5200087695825162,0.4799912304174838,25.484331092429557
