geoId,Total_Population,Under18_FirstDose,Under18_Rate_of_Total_Pop
IS,376248,43091,0.11452818353851715
ES,47432893,4859297,0.10244572263386928
PT,10352042,1003285,0.09691662765664977
FI,5548241,453284,0.08169868612412474
DK,5873420,473881,0.08068229413186866
IE,5060004,400424,0.07913511530820924
MT,520971,39184,0.07521339959421926
BE,11617623,861956,0.07419383465963734
IT,59641488,4332328,0.07263950222033361
FR,67871925,4608158,0.0678949064727426
LU,645397,43653,0.06763743866178491
NO,5425270,348257,0.06419164391818287
AT,8978929,525642,0.05854172585616837
DE,83237124,4563350,0.05482349438214612
NL,17590672,895339,0.05089851030136882
PL,37958138,1784079,0.04700122540257375
EL,10718565,483328,0.04509260334755632
HU,9769526,436896,0.04472028632709509
LV,1907675,84003,0.04403423014926547
LI,39308,1664,0.042332349648926425
CY,904705,37794,0.04177494321353369
CZ,10701777,420374,0.03928076617556131
EE,1331796,44474,0.033394003285788516
LT,2805998,90253,0.03216431373080095
SE,10452326,283547,0.027127646037829283
SK,5459781,134575,0.024648424543035702
SI,2108977,43805,0.02077073386765242
RO,19201662,270224,0.014072948477064121
HR,4058165,35087,0.008646025974794027
BG,6951482,28612,0.004115956856394075
