geoId,indicator,2020,2022
AT,Daily ICU occupancy,7.965339873974616,3.6287796604990143
AT,Daily hospital occupancy,44.76992862875719,34.53519714047669
BE,Daily ICU occupancy,12.792429381276884,4.512933024602428
BE,Daily hospital occupancy,64.75191018568984,37.570167429815214
BG,Daily ICU occupancy,8.372315428566168,8.990888561604562
BG,Daily hospital occupancy,100.65479562487538,90.25413573681124
CY,Daily ICU occupancy,3.040523420476236,4.7297030985185895
CY,Daily hospital occupancy,18.017916565785104,30.40523420476236
CZ,Daily ICU occupancy,11.286767205236536,5.451686230864044
CZ,Daily hospital occupancy,76.90337489301183,40.45282098579391
DE,Daily ICU occupancy,6.28376418540827,4.780758974585396
EE,Daily ICU occupancy,5.267213252910511,1.7306557830991682
EE,Daily hospital occupancy,33.63491891501427,52.74737843271812
ES,Daily ICU occupancy,6.2620669967646405,4.320488194461434
ES,Daily hospital occupancy,44.474619550908386,41.4449960443765
FR,Daily ICU occupancy,10.530269243342891,6.452742219365428
FR,Daily hospital occupancy,53.861978101793376,54.074395720893115
IE,Daily hospital occupancy,17.746211053009,32.430646759755376
LT,Daily hospital occupancy,89.83246781599735,62.16693091489537
LU,Daily ICU occupancy,7.985842698064871,3.5137707871485433
LU,Daily hospital occupancy,39.45006292844046,14.055083148594173
MT,Daily ICU occupancy,5.052821417743954,0.7773571411913776
NL,Daily ICU occupancy,8.036726518928386,2.3782736088894585
NL,Daily hospital occupancy,16.693872240175764,7.8414093626427785
SI,Daily ICU occupancy,9.924322271372004,8.206651109019157
SI,Daily hospital occupancy,63.172128304310256,38.743027328625324
SK,Daily ICU occupancy,4.342350948803682,7.805238414305353
SK,Daily hospital occupancy,41.71954898913918,53.59230601371634
